Portuguese Comment,Translated Comment,Sentiment Score
hoje há confirmação?,Is there confirmation today?,0.0
o dia 18 está 🔥🔥,The 18th is 🔥🔥,0.0
😍,😍,0.0
Só o primeiro dia é bom,Only the first day is good,0.31666666666666665
Vulfpeck and Joe Dart!! 🔥❤️,VULFPECK AND JOE DART !!🔥❤️,0.0
comeram o resto do cartaz?,Did they eat the rest of the poster?,0.0
Não entendo nada... Que cartaz é este? Já todos os festivais têm cartazes fechados. Que estão a espera?,I don't understand anything ... What poster is this?Already all festivals have closed posters.What are the wait?,-0.1
Tyler the creator please 😭😭,Tyler The Creator Please 😭😭,0.0
Bom para não ir.,Good not to go.,0.7
🙌❤️,🙌❤️,0.0
Black coffee YAHHHH,Black Coffee Yahhhh,-0.16666666666666666
Dia 20 tem dois artistas. Até as minhas calças têm mais buracos,Day 20 has two artists.Even my pants have more holes,0.5
É bom que venham mais dia 19,It is good that more day 19,0.6
O primeiro dia 🔥,The first day 🔥,0.25
o nome do Aminé pequenininho ali kk deveria ser headliner de tudo 🤣,The name of Aminé little one there kk should be headliner of everything 🤣,-0.1875
🔥🔥🔥,🔥🔥🔥,0.0
Maneskin 🔥🔥🔥,Maneskin 🔥🔥🔥,0.0
Fisher como headliner?,Fisher as a headliner?,0.0
beabadoobee please :(,Beabadoobee please :(,-0.75
Rex orange county please,Rex Orange County Please,0.0
😍,😍,0.0
Måneskin!!!😍,Måneskin !!! 😍,0.0
Royal Blood... 🔥,Royal Blood ... 🔥,0.0
"filhos digam logo quem falta, que nervos","children say soon who is missing, what nerves",-0.2
Chamem Underworld!!!,Call Underworld !!!,0.0
Fraquinho... Muito fraquinho.. Daqui a pouco estão como o sudoeste,Weak ... very weak .. in a little while they are like the southwest,-0.35000000000000003
O cartaz do ano passado da 10-0 a este,Last year's poster from 10-0 to this,0.0
måneskin>>>>,Måneskin >>>>,0.0
Gastaram tudo com Maneskin 😢😢😢,They spent everything on Maneskin 😢😢😢,-0.1
que horror de lineup,What a lineup horror,0.0
credo,creed,0.0
"fisher como headliner diz tudo, que vergonha de cartaz","Fisher as Headliner says it all, what a shame of poster",0.0
Fiquem pelo sul com um cartaz frouxinho 😂,Stay through the south with a lax poster 😂,0.0
“E muito mais” é a polícia e os seus cães a farejarem charro,“And much more” is the police and their dogs sniff,0.5
Mas vocês estão à espera de quê para anunciar toda a gente? Uma pessoa quer comprar bilhete (ou diário ou o passe) e até fica sem vontade,But what are you waiting for to announce everyone?A person wants to buy ticket (or diary or pass) and even feel unwilling,0.2
parem de dar tease ja ninguem aguenta 🩷,Stop giving tease nobody can handle 🩷,0.0
Questa merda,Shit,-0.2
Ganda merda pá,Ganda shit shovel,-0.2
Eu quero ir tocar no @superbocksuperrock 🔥,I want to go play at @superbocksuperrock 🔥,0.0
E não se esqueçam que a @striketours tem excursão desde o norte!! 😉,And don't forget that @striketars has been touring since the north !!😉,0.0
queremos a @pinkpantheress de novo!,We want @pinkpanthlesses again!,0.0
@__didi__mokoena,@__didi__mokoena,0.0
@maneskinofficial ❤️❤️❤️❤️❤️😍🔥,@manneskinofficial ❤️❤️❤️❤️❤️❤️😍🔥,0.0
