Portuguese Comment,Translated Comment,Sentiment Score
"Dia 12 tá péssimo, quando anunciam algo? Senão mais vale tornarem show solo da dua lipa","Day 12 is terrible, when do you announce something?Otherwise it is worth making a solo show of dua lipa",-0.35
Onde estão os artistas tugas? Tá muito fraco 😒,Where are the tugas artists?It's very weak 😒,-0.48750000000000004
I'm looking for two three-day passes,I'm Looking For Two Three-Day Passes,0.0
Talvez o pior cartaz de sempre,Maybe the worst poster ever,-1.0
"eish, não gostaram dos comentários negativos do outro post?","Eish, didn't you like the negative comments from the other post?",-0.2125
A Tyla cancelou toda a tour. Vão devolver o dinheiro se o substituto não interessar?,Tyla canceled the whole tour.Are they going to return the money if the substitute does not interest?,0.2
Quando meterem o post com o cartaz a sério não se esqueçam de apagar este outra vez,When they get the post with the poster seriously don't forget to erase this again,-0.3333333333333333
Quando anunciam o restante cartaz do palco NOS para o dia 12?,When do they announce the remaining stage poster for the 12th?,0.0
"Many more to be announced there is still hope, guys!! 🤞","Many more to be Anniedd There is Still Hope, Guys !!🤞",0.640625
Estou à espera de @foofighters e de @greenday para este cartaz !!!,I am waiting for @foofighters and @greenday for this poster !!!,0.0
"Vou ao @nos_alive desde a 2a edição, e de facto sempre tiverem alguns dos melhores cartazes de todos os festivais. Mas este ano é de longe o pior cartaz que já apresentaram, não dá sequer para justificar pagar 190€ por 3 dias, quando tinham cartazes mais fortes com passes a 90€. Meterem Tyla no palco principal nem faz sentido, uma artista com um hit viral, que nem um álbum tem editado, nem teve tempo para provar ser merecedora de partilhar um main stage como headliner… enfim, fico mesmo desapontado com estas escolhas. Felizmente temos o @meokalorama atualmente a fazer a diferença nos cartazes e a um preço muito mais honesto para o que oferecem, algo que o Alive já fez no passado mas pelo qual perdeu o interesse.","I have been going to @nos_alive since the 2nd edition, and in fact they always have some of the best posters of all festivals.But this year is by far the worst poster they have ever presented, it is not even to justify paying 190 € for 3 days, when they had stronger passes with passes at 90 €.Met Tyla on the main stage doesn't even make sense, an artist with a viral hit, who neither an album has edited, didn't even have time to prove to be deserving a main stage as a headliner… Anyway, I'm really disappointed with these choices.Fortunately we have @meokalorama currently making a difference in the posters and at a much more honest price for what they offer, something Alive has done in the past but for which he has lost interest.",0.09487179487179488
Anunciem lá os @bringmethehorizon !,Announce the @bringmethehorizon!,0.0
"Eu gostava de ter bilhete para o dia 13. Mas anyway, acho que vou morrer sem ver a minha banda favorita @ricardo.mso.henriques","I liked to have a ticket for the 13th. But Anyway, I think I'm going to die without seeing my favorite band @ricardo.mso.henriques",0.3666666666666667
@avrillavigne dia 12?,@avrillavigne day 12?,0.0
"Honestly só comprei o bilhete pela Dua Lipa, mas cmon guys que cartaz é este este ano :/","HONESTLY I just bought the ticket for Dua Lipa, but Cmon Guys that poster is this year:/",0.6
Andam a apagar os comentários negativos e bloquear os fãs do evento que inclusive já até pagaram o ingresso. Que feio em @nos_alive .,They are erasing the negative comments and blocking the events of the event that even paid the ticket.What ugly in @nos_alive.,-0.5
"Pls bring The Killers, they are performing in Madcool in Madrid the same days, so they are close to Lisbon to come. Talk to them!!! 😭🥰🤘🏽","PLS BRING THE KILLERS, THEY ARE PERFORMING IN MADCOOL IN MADRID THE SAME DAYS, SO THEY ARE CLOSE TO LISBON TO COMM.TALK TO THEM !!!😭🥰🤘🏽",0.0
"Este dia 13 apesar de ter Pearl Jam como grandissimo nome claro, de resto continua muito fraquinho...","This day 13 despite having Pearl Jam as a big name of course, otherwise it remains very weak ...",-0.24375000000000002
Quando confirmam os Foo Fighters?,When do they confirm the Foo Fighters?,0.0
aurora ❤,Aurora ❤,0.0
Falta Future Islands no sábado!,Future Islands missing on Saturday!,-0.125
Fraco! Tão ruim quanto o Rock in Rio! Paredes de Coura e Kalorama estão muito melhores!,Weak!As bad as rock in rio!Coura and Kalorama walls are much better!,-0.03749999999999992
Imaginem a dua lipa dividir o palco com trex e tyla???💀💀😭,Imagine the lipa sharing the stage with Trex and Tyla ??? 💀💀😭,0.0
Eu gostava de ter 2 bilhetes para o dia 13,I liked to have 2 tickets for the 13th,0.3
Tudo bem que water foi hit mas assim a Tyla não tem nem álbum lançado e vai para o palco NOS? Anunciem logo outro headliner pro dia 12,It's okay that Water was hit but so Tyla has no album released and goes to the NOS stage?Announce another headliner pro day 12,0.5
quando anunciam a @charli_xcx para dia 12????,When they announce @chachali_xcx for day 12 ????,0.0
"Não adianta demonstrar insatisfação e fazer comentários negativos, pois a @nos_alive está ocultando/bloqueando quem os faz aqui nos comentários... realmente muito feio isto!","No use demonstrating dissatisfaction and making negative comments, because @nos_alive is hiding/blocking who makes them here in the comments ... Really very ugly this!",-0.65
A aguardar confirmação para Renee Rapp!,Awaiting confirmation for Renee Rapp!,0.0
Melhor cartaz sempre! (menos de 2024 que está muito fraquinho) 😂,Best poster always!(less than 2024 that is very weak) 😂,0.25625
"Dia 12 e de chorar, meu Deus ,pessimo cast nesse dia","Day 12 and crying, my God, Pessimo Cast on that day",-0.2
To aguardando @bringmethehorizon ❤️,I'm waiting @bingmethehorizon ❤️,0.0
